Food,Country,Category,Other Language,Other Language2,Region
Hủ tiếu,Vietnam,International,,,Southern Vietnam
Mì Quảng,Vietnam,International,,,Quảng Nam Province
Mì xào giòn,Vietnam,International,,,
Bánh canh,Vietnam,International,,,
"Rice vermicelli
bún",Vietnam,International,,,
Bánh bá trạng,Vietnam,International,,,
Bánh bao,Vietnam,International,,,
Bánh bột lọc,Vietnam,International,,,
Bánh bột lọc trần,Vietnam,International,,,
Bánh bột lọc lá,Vietnam,International,,,Thừa Thiên
Bánh cam,Vietnam,International,,,Southern Vietnam
Bánh ít,Vietnam,International,,,
Bánh ít trần,Vietnam,International,,,
Bánh khúc,Vietnam,International,,,
Bánh nậm,Vietnam,International,,,Thừa Thiên
Bánh phu thê,Vietnam,International,,,Bắc Ninh Province
Bánh phu thê bột bán,Vietnam,International,,,
Bánh rán,Vietnam,International,,,Northern Vietnam
Bánh tẻ,Vietnam,International,,,Hanoi
Bánh bèo,Vietnam,International,,,Quảng Bình Province
Bánh bột lọc,Vietnam,International,,,Huế
Bánh căn,Vietnam,International,,,Southern Vietnam
Bánh đúc,Vietnam,International,,,
Bánh khọt,Vietnam,International,,,Bà Rịa
Bánh mì,Vietnam,International,,,
Bánh rế,Vietnam,International,,,Bình Thuận Province
Bánh xèo,Vietnam,International,,,Southern Vietnam
Bánh cuốn,Vietnam,International,,,Hanoi
Bánh tôm,Vietnam,International,,,
Bánh tôm Hồ Tây,Vietnam,International,,,Hanoi
Bánh tráng,Vietnam,International,,,Central Vietnam
Bánh ướt,Vietnam,International,,,Khánh Hòa Province
Cha gio or Nem ran,Vietnam,International,,,Saigon
Gỏi cuốn,Vietnam,International,,,
Món cuốn,Vietnam,International,,,
"Popiah
bò bía",Vietnam,International,,,
"Trảng Bàng dew-wetted rice paper
bánh tráng phơi sương Trảng Bàng",Vietnam,International,,,Tây Ninh Province
"Bird's nest soup
súp yến sào",Vietnam,International,,,
Canh chua,Vietnam,International,,,Mekong Delta
Chạo tôm,Vietnam,International,,,Thừa Thiên
"Congee
cháo",Vietnam,International,,,
Lẩu,Vietnam,International,,,
Súp măng cua,Vietnam,International,,,
Thịt Kho Tàu,Vietnam,International,,,
"Balut
trứng vịt lộn or hột vịt lộn",Vietnam,International,,,
Bánh,Vietnam,International,,,
Bánh chưng,Vietnam,International,,,Northern Vietnam
Bánh đa,Vietnam,International,,,
Bánh gối,Vietnam,International,,,
Bánh lá,Vietnam,International,,,Huế
"Black pudding
dồi tiết' ",Vietnam,International,,,
Bò 7 món,Vietnam,International,,,Saigon
Cassava-based dishes,Vietnam,International,,,
Chả,Vietnam,International,,,
Cốm,Vietnam,International,,,Red River Delta
Cơm nắm,Vietnam,International,,,
Cơm tấm,Vietnam,International,,,
Giò lụa,Vietnam,International,,,
Bò Kho,Vietnam,International,,,
Lò trấu,Vietnam,International,,,
Nem chua,Vietnam,International,,,
Ô mai,Vietnam,International,,,
Ốc bươu nhồi thịt,Vietnam,International,,,
Rousong chà bông,Vietnam,International,,,
Thit Bo Cuon La Lot,Vietnam,International,,,
Tiết canh,Vietnam,International,,,
Xôi,Vietnam,International,,,
You tiao quẩy,Vietnam,International,,,
Achu,Cameroon,International,,,
Akara,Nigeria,International,,,
Ahriche,Morocco,International,,,
Edikang Ikong,Nigeria,International,,,
Amala,Nigeria,International,,,
Asida,North Africa,International,,,
Baba ghanoush,Levant,International,,,
Banga soup,Nigeria,International,,,
Peppermint Crisp,South Africa,International,,,
Bazeen,Libya,International,,,
Bichak,Morocco,International,,,
Biltong,Southern Africa,International,,,
Bar-One Cake,South Africa,International,,,
Boerewors,South Africa,International,,,
Boerewors-roll,South Africa,International,,,
Braaibroodjies,South Africa,International,,,
Brik,Tunisia,International,,,
Briouat,Morocco,International,,,
Bunny chow,South Africa,International,,,
Bobotie,South Africa,International,,,
Chakhchoukha,Tunisia,International,,,
Chermoula,North Africa,International,,,
Couscous,North Africa,International,,,
Korma,Zimbabwe,International,,,
Draw soup,Nigeria,International,,,
Droëwors,South Africa,International,,,
Duqqa,Egypt,International,,,
Echicha,Nigeria,International,,,
Ekwang,Cameroon,International,,,
Eru,Cameroon,International,,,
Feijoada,Southern Africa,International,,,
Fesikh,Egypt,International,,,
Fig roll,Egypt,International,,,
Fit-fit,Ethiopia,International,,,
Freekeh,Levant,International,,,
Frejon,Nigeria,International,,,
Frikkadel,Southern Africa,International,,,
Fufu,Ghana,International,,,
Ful medames,Egypt,International,,,
Funkaso,Nigeria,International,,,
Ga'at,Ethiopia,International,,,
Garri,Cameroon,International,,,
Gatsby Sandwich,South Africa,International,,,
Gored gored,Ethiopia,International,,,
Harira,Algeria,International,,,
Hawawshi,Egypt,International,,,
Hertzoggie,South Africa,International,,,
Himbasha,Ethiopia,International,,,
Injera,Ethiopia,International,,,
Iru,Nigeria,International,,,
Isi ewu,Nigeria,International,,,
Isidudu,Southern Africa,International,,,
Jaffle,South Africa,International,,,
Jollof rice,West Africa,International,,,
Kachumbari,East Africa,International,,,
Kelewele,Ghana,International,,,
Kenkey,Ghana,International,,,
Kitcha,Ethiopia,International,,,
Kitfo,Ethiopia,International,,,
Koeksister,South Africa,International,,,
Koki,Cameroon,International,,,
Konkonte,Ghana,International,,,
Kuli-kuli,Nigeria,International,,,
Kushari,Egypt,International,,,
Lablabi,Tunisia,International,,,
Makroudh,Tunisia,International,,,
Mala Mogodu,Southern Africa,International,,,
Malva pudding,Southern Africa,International,,,
Mandazi,East Africa,International,,,
Matbucha,Morocco,International,,,
Matoke,Uganda,International,,,
Mbongo Tchobi,Cameroon,International,,,
Méchoui,North Africa,International,,,
Melktert,South Africa,International,,,
Merguez,North Africa,International,,,
Mesfouf,Tunisia,International,,,
Mielie brood/Mealie bread,South Africa,International,,,
Moin moin,Nigeria,International,,,
Mrouzia,Morocco,International,,,
Msemen,Maghreb,International,,,
Mugoyo,Uganda,International,,,
Mulukhiyah,Egypt,International,,,
Ndolé,Cameroon,International,,,
Nshima,Central Africa,International,,,
Ogbono soup,Nigeria,International,,,
Ogi,Nigeria,International,,,
Owofibo,Nigeria,International,,,
Pampoenkoekies,South Africa,International,,,
Pap,Southern Africa,International,,,
Pap en Vleis,South Africa,International,,,
Pastilla,Algeria,International,,,
Chakalaka,South Africa,International,,,
Phutu,South Africa,International,,,
Potbrood,South Africa,International,,,
Potjiekos,Namibia,International,,,
Qatayef,Egypt,International,,,
Sadza,Zimbabwe,International,,,
Seswaa,Botswana,International,,,
Sfenj,North Africa,International,,,
Shahan ful,North Africa,International,,,
Shakshouka,Northwest Africa,International,,,
Shiro,Ethiopia,International,,,
Shish taouk,North Africa,International,,,
Skilpadjies,South Africa,International,,,
Sosatie,Botswana,International,,,
Suya,Nigeria,International,,,
Tabil,Tunisia,International,,,
Tahini,North Africa,International,,,
Tajine,North Africa,International,,,
Tapalapa bread,West Africa,International,,,
Thieboudienne,Senegal,International,,,
Tomato bredie,Namibia,International,,,
Torta de Gazpacho,Algeria,International,,,
Toum,Levant,International,,,
Ugali,African Great Lakes,International,,,
Umngqusho,Africa,International,,,
Usban,Libya,International,,,
Vetkoek,Southern Africa,International,,,
Wat,Ethiopia,International,,,
Waterblommetjiebredie,South Africa,International,,,
Yassa,Senegal,International,,,
